cas	vrednost	ekstrem
01.09.2014 00:40:00	277.6	MAX
01.09.2014 02:10:00	188.6	MIN
01.09.2014 14:40:00	256	VV2
01.09.2014 18:00:00	204.7	NV2
02.09.2014 02:10:00	246.6	VV2
02.09.2014 09:50:00	220.6	MIN
02.09.2014 13:50:00	248.4	MAX
03.09.2014 00:30:00	208.9	MIN
03.09.2014 05:50:00	240.4	VV2
03.09.2014 10:50:00	231.6	NV2
03.09.2014 16:30:00	266.2	MAX
04.09.2014 00:10:00	193.4	MIN
04.09.2014 07:10:00	252.1	VV2
04.09.2014 11:20:00	232.6	NV2
04.09.2014 17:30:00	267.7	MAX
05.09.2014 00:40:00	188.9	MIN
05.09.2014 07:40:00	260.7	VV2
05.09.2014 12:40:00	226.9	NV2
05.09.2014 18:20:00	267.9	MAX
06.09.2014 01:40:00	185.2	MIN
06.09.2014 08:10:00	277.4	MAX
06.09.2014 14:00:00	207.6	NV2
06.09.2014 19:30:00	272.3	VV2
07.09.2014 02:00:00	173.3	MIN
07.09.2014 08:40:00	284.6	MAX
07.09.2014 14:40:00	196.7	NV2
07.09.2014 20:10:00	281.4	VV2
08.09.2014 02:40:00	168.9	MIN
08.09.2014 09:10:00	289.7	MAX
08.09.2014 15:00:00	186.2	NV2
08.09.2014 20:50:00	286.5	VV2
09.09.2014 03:20:00	170.9	MIN
09.09.2014 09:40:00	290.7	MAX
09.09.2014 15:30:00	184.4	NV2
09.09.2014 21:50:00	281.1	VV2
10.09.2014 03:40:00	156.5	MIN
10.09.2014 09:50:00	295.1	MAX
10.09.2014 16:10:00	183.3	NV2
10.09.2014 21:30:00	280.2	VV2
11.09.2014 04:20:00	174.5	MIN
11.09.2014 10:50:00	287	MAX
11.09.2014 17:10:00	189.7	NV2
11.09.2014 22:50:00	271.3	VV2
12.09.2014 04:00:00	183.9	MIN
12.09.2014 10:40:00	294.9	MAX
12.09.2014 17:40:00	192.6	NV2
12.09.2014 22:30:00	253.2	VV2
13.09.2014 04:40:00	193.4	MIN
13.09.2014 11:40:00	278.7	MAX
13.09.2014 19:20:00	201.1	NV2
14.09.2014 00:10:00	241.9	VV2
14.09.2014 05:30:00	213.5	NV2
14.09.2014 11:20:00	272.1	MAX
14.09.2014 19:20:00	197.3	MIN
15.09.2014 01:50:00	237.1	VV2
15.09.2014 05:40:00	228.2	NV2
15.09.2014 12:20:00	261	MAX
15.09.2014 20:30:00	202.2	MIN
16.09.2014 12:20:00	244.4	MAX
16.09.2014 22:50:00	204.6	MIN
17.09.2014 06:30:00	246.1	MAX
17.09.2014 11:40:00	232.2	NV2
17.09.2014 17:40:00	240.7	VV2
17.09.2014 23:50:00	201.3	MIN
18.09.2014 06:40:00	254.1	MAX
18.09.2014 13:00:00	224.3	MIN
18.09.2014 18:20:00	250.6	VV2
19.09.2014 00:50:00	197.9	MIN
19.09.2014 07:00:00	263	VV2
19.09.2014 13:50:00	216.1	NV2
19.09.2014 19:50:00	264.9	MAX
20.09.2014 01:50:00	197.9	MIN
20.09.2014 08:10:00	281.2	MAX
20.09.2014 14:20:00	213.8	NV2
20.09.2014 18:50:00	277.1	VV2
21.09.2014 02:00:00	191.3	MIN
21.09.2014 08:00:00	269.6	VV2
21.09.2014 13:10:00	207.9	NV2
21.09.2014 20:10:00	275.1	MAX
22.09.2014 01:50:00	193.6	MIN
22.09.2014 08:00:00	284.4	MAX
22.09.2014 14:40:00	201.9	NV2
22.09.2014 19:40:00	271.1	VV2
23.09.2014 04:20:00	170.5	NV2
23.09.2014 06:50:00	289.7	MAX
23.09.2014 14:40:00	167.6	MIN
23.09.2014 21:20:00	286.4	VV2
24.09.2014 02:50:00	192.7	MIN
24.09.2014 09:00:00	283.8	VV2
24.09.2014 15:10:00	196	NV2
24.09.2014 21:00:00	284.9	MAX
25.09.2014 03:00:00	191.6	MIN
25.09.2014 10:10:00	277.9	MAX
25.09.2014 15:40:00	193	NV2
25.09.2014 21:30:00	269.4	VV2
26.09.2014 04:30:00	177.2	MIN
26.09.2014 10:40:00	283.2	MAX
26.09.2014 17:00:00	184.4	NV2
26.09.2014 22:20:00	259.8	VV2
27.09.2014 04:40:00	176	NV2
27.09.2014 10:50:00	282.6	MAX
27.09.2014 17:00:00	175.6	MIN
27.09.2014 22:50:00	245.6	VV2
28.09.2014 04:20:00	197.4	NV2
28.09.2014 10:30:00	269.3	MAX
28.09.2014 17:30:00	178.1	MIN
29.09.2014 00:00:00	237.5	VV2
29.09.2014 04:40:00	209.5	NV2
29.09.2014 11:00:00	259	MAX
29.09.2014 18:20:00	178	MIN
30.09.2014 01:10:00	236.8	VV2
30.09.2014 06:40:00	212.7	NV2
30.09.2014 11:50:00	244.2	MAX
30.09.2014 19:20:00	188.7	MIN
01.10.2014 02:20:00	229.7	VV2
01.10.2014 07:50:00	216.7	NV2
01.10.2014 13:10:00	234.2	MAX
01.10.2014 21:30:00	192.5	MIN
